City;Day;High;Low;Precip.;Snow;Snow depth
Ann Arbor;01-01-2017;41.0;24.1;0.00;0.00;0.00
Ann Arbor;02-01-2017;39.0;26.1;0.01;0.00;0.00
Ann Arbor;03-01-2017;43.0;36.0;0.54;0.00;0.00
Ann Arbor;04-01-2017;37.9;18.0;0.05;0.51;0.00
Ann Arbor;05-01-2017;18.0;12.0;0.04;0.79;0.98
Ann Arbor;06-01-2017;14.0;5.0;0.05;0.79;0.98
Ann Arbor;07-01-2017;14.0;1.9;0.03;0.51;0.98
Ann Arbor;08-01-2017;18.0;5.0;0.05;0.79;2.01
Ann Arbor;09-01-2017;28.0;14.0;T;T;0.98
Ann Arbor;10-01-2017;42.1;25.0;0.52;3.39;2.01
Ann Arbor;11-01-2017;46.0;28.0;0.20;0.00;0.00
Ann Arbor;12-01-2017;54.0;28.9;0.66;T;0.00
Ann Arbor;13-01-2017;28.9;17.1;0.00;0.00;0.00
Ann Arbor;14-01-2017;30.9;19.9;0.00;0.00;0.00
Ann Arbor;15-01-2017;33.1;16.0;0.00;0.00;0.00
Ann Arbor;16-01-2017;33.1;18.0;0.04;0.20;0.00
Ann Arbor;17-01-2017;46.0;30.0;0.69;0.00;0.00
Ann Arbor;18-01-2017;39.9;35.1;0.02;0.00;0.00
Ann Arbor;19-01-2017;39.9;32.0;T;0.00;0.00
Ann Arbor;20-01-2017;37.9;32.0;0.12;0.00;0.00
Ann Arbor;21-01-2017;57.9;37.9;0.02;0.00;0.00
Ann Arbor;22-01-2017;52.0;41.0;0.01;0.00;0.00
Ann Arbor;23-01-2017;46.0;39.9;0.11;0.00;0.00
Ann Arbor;24-01-2017;41.0;36.0;0.09;0.00;0.00
Ann Arbor;25-01-2017;43.0;34.0;0.04;0.00;0.00
Ann Arbor;26-01-2017;45.0;33.1;0.09;0.20;0.00
Ann Arbor;27-01-2017;35.1;28.0;0.04;0.51;0.00
Ann Arbor;28-01-2017;28.9;26.1;0.04;0.39;0.00
Ann Arbor;29-01-2017;28.9;25.0;0.10;1.81;2.01
Ann Arbor;30-01-2017;26.1;15.1;0.05;0.79;2.01
